id_cliente,horas_consumo_mensual,gasto_mensual,cantidad_contenidos_vistos,sesiones_semana,porcentaje_finalizacion,tiempo_promedio_sesion_min,cantidad_generos_consumidos,porcentaje_uso_promociones,antiguedad_cliente_meses,edad,dispositivos_registrados,porcentaje_uso_app_movil,cantidad_perfiles_creados,interacciones_mensuales_soporte,distancia_promedio_red_km,plan_streaming,satisfaccion_usuario,reclamos_ultimos_3_meses,dispositivo_principal,plan_streaming_codigo,dispositivo_principal_codigo
1001,49,76,3,6,49,56,4,0.7855112476775208,28,52.0,2,0.29,5,3.0,34.1,Basico,55,0,Smart TV,1,1
1002,59,396,26,8,88,211,14,0.0156912762684531,76,69.0,3,0.47,5,4.0,2.4,Estandar,62,3,Celular,2,2
1003,43,91,9,3,62,5,2,0.7491282365758885,15,51.0,1,0.78,1,7.0,63.6,Premium,69,1,Notebook,3,3
1004,51,77,8,4,62,5,4,0.5100177544559401,5,58.0,2,0.27,3,6.0,6.5,Familiar,76,4,Tablet,4,4
1005,36,212,74,7,51,85,5,0.4031384441857476,48,68.0,5,0.75,4,0.0,38.5,Basico,83,2,Consola,1,5
1006,28,188,66,21,69,169,8,0.3814631437520095,31,64.0,1,0.88,1,4.0,45.3,Estandar,90,0,Smart TV,2,1
1007,30,295,40,11,75,92,8,0.2735406596951892,42,35.0,2,0.51,3,6.0,50.6,Premium,97,3,Celular,3,2
1008,39,495,14,4,71,299,14,0.1251719831428472,97,28.0,2,0.84,4,6.0,55.4,Familiar,59,1,Notebook,4,3
1009,49,30,5,4,13,20,4,0.7663349627364544,2,40.0,3,0.6,2,7.0,21.0,Basico,66,4,Tablet,1,4
1010,45,61,12,1,44,37,1,0.6867225060416018,11,65.0,3,0.67,3,3.0,1.8,Estandar,73,2,Consola,2,5
1011,19,131,22,5,72,99,4,0.1826737439506981,48,39.0,5,0.57,5,6.0,58.2,Premium,80,0,Smart TV,3,1
1012,42,261,23,2,98,154,11,0.0142377296920457,47,34.0,2,0.52,1,7.0,43.3,Familiar,87,3,Celular,4,2
1013,58,339,39,2,88,224,11,0.0236329655243312,92,22.0,2,0.31,3,6.0,67.1,Basico,94,1,Notebook,1,3
1014,32,194,48,8,64,80,7,0.2128138290285226,29,61.0,3,0.37,3,0.0,65.9,Estandar,56,4,Tablet,2,4
1015,19,271,54,21,74,171,6,0.2488072343171132,58,28.0,1,0.36,5,0.0,67.6,Premium,63,2,Consola,3,5
1016,38,270,51,9,51,172,9,0.400348427116599,44,47.0,1,0.61,4,5.0,39.3,Familiar,70,0,Smart TV,4,1
1017,17,224,49,21,88,121,6,0.4305829864430966,41,32.0,4,0.21,2,4.0,27.4,Basico,77,3,Celular,1,2
1018,30,88,19,0,45,16,1,0.7432291858515583,12,44.0,3,0.93,5,2.0,63.5,Estandar,84,1,Notebook,2,3
1019,26,100,14,6,61,87,2,0.5791023273018796,21,52.0,4,0.75,2,7.0,36.7,Premium,91,4,Tablet,3,4
1020,19,218,31,24,60,159,7,0.4166316174903394,58,50.0,3,0.46,4,1.0,15.5,Familiar,98,2,Consola,4,5
1021,31,34,3,6,38,79,2,0.781191166384481,9,37.0,5,0.24,3,7.0,68.5,Basico,60,0,Smart TV,1,1
1022,24,264,57,11,85,72,4,0.2586606407817007,46,33.0,2,0.89,2,2.0,70.7,Estandar,67,3,Celular,2,2
1023,40,124,48,9,77,142,7,0.2482568588267563,36,51.0,5,0.84,1,4.0,37.8,Premium,74,1,Notebook,3,3
1024,24,118,13,3,45,74,4,0.2501004300192013,29,19.0,3,0.75,1,1.0,7.0,Familiar,81,4,Tablet,4,4
1025,44,103,19,6,12,49,1,0.4431212520688503,26,52.0,2,0.34,5,2.0,31.6,Basico,88,2,Consola,1,5
1026,49,566,18,7,70,250,13,0.0749741159047408,88,57.0,1,0.46,4,5.0,64.5,Estandar,95,0,Smart TV,2,1
1027,39,175,52,10,92,65,4,0.1048617898759265,51,45.0,1,0.19,5,1.0,72.2,Premium,57,3,Celular,3,2
1028,38,109,11,3,46,40,3,0.6172466738639886,25,64.0,4,0.27,5,0.0,17.1,Familiar,64,1,Notebook,4,3
1029,35,76,9,0,23,19,3,0.7974988250176225,22,56.0,3,0.8,5,2.0,6.3,Basico,71,4,Tablet,1,4
1030,36,122,35,15,51,133,8,0.2822627011142852,47,23.0,3,0.74,1,7.0,70.3,Estandar,78,2,Consola,2,5
1031,25,65,8,1,69,54,4,0.2466407821789909,9,26.0,1,0.63,1,1.0,31.8,Premium,85,0,Smart TV,3,1
1032,18,274,73,21,48,92,7,0.4255180078827795,47,37.0,5,0.91,5,5.0,43.8,Familiar,92,3,Celular,4,2
1033,30,276,32,18,74,65,4,0.2666556230953917,24,18.0,2,0.62,1,7.0,77.5,Basico,99,1,Notebook,1,3
1034,54,259,33,2,96,228,9,0.0052733948994504,72,25.0,5,0.52,4,6.0,6.3,Estandar,61,4,Tablet,2,4
1035,30,395,24,1,80,204,14,0.0761781713262043,61,40.0,5,0.41,5,1.0,52.2,Premium,68,2,Consola,3,5
1036,56,426,22,1,71,224,7,0.0267704237601266,60,20.0,1,0.95,1,1.0,6.9,Familiar,75,0,Smart TV,4,1
1037,30,174,25,21,44,154,7,0.4986547348295621,42,21.0,1,0.17,2,5.0,30.7,Basico,82,3,Celular,1,2
1038,19,172,56,14,49,142,3,0.1964339329318527,28,42.0,1,0.94,5,6.0,64.5,Estandar,89,1,Notebook,2,3
1039,18,80,13,4,13,66,1,0.6030204106435141,2,64.0,4,0.84,5,2.0,35.2,Premium,96,4,Tablet,3,4
1040,45,101,7,1,67,38,2,0.6633910350413836,27,55.0,5,0.22,4,3.0,79.8,Familiar,58,2,Consola,4,5
1041,32,131,20,16,44,153,8,0.4167271357878531,36,32.0,3,0.61,3,2.0,45.2,Basico,65,0,Smart TV,1,1
1042,40,108,5,4,23,70,3,0.3277784969053464,6,38.0,2,0.88,3,6.0,26.4,Estandar,72,3,Celular,2,2
1043,42,157,69,6,57,89,9,0.2749899688094916,53,52.0,4,0.61,4,4.0,18.4,Premium,79,1,Notebook,3,3
1044,62,584,37,7,79,170,5,0.1899041247315284,43,63.0,3,0.92,4,7.0,28.7,Familiar,86,4,Tablet,4,4
1045,24,264,29,21,59,147,7,0.4920130301141908,21,69.0,5,0.95,4,5.0,30.4,Basico,93,2,Consola,1,5
1046,30,72,16,2,60,27,3,0.5508596635694922,11,31.0,1,0.48,3,2.0,6.4,Estandar,55,0,Smart TV,2,1
1047,36,263,27,8,79,63,3,0.4587153639624047,22,53.0,5,0.44,4,1.0,30.2,Premium,62,3,Celular,3,2
1048,44,61,18,4,67,55,3,0.6930743821066696,18,29.0,2,0.94,1,5.0,37.7,Familiar,69,1,Notebook,4,3
1049,45,71,6,0,14,16,2,0.7365303577375555,17,34.0,4,0.71,5,0.0,58.1,Basico,76,4,Tablet,1,4
1050,28,164,46,13,65,106,3,0.3751138868384333,49,56.0,4,0.2,5,6.0,52.9,Estandar,83,2,Consola,2,5
1051,46,275,13,1,77,232,7,0.0369042038712754,54,26.0,2,0.14,2,7.0,57.0,Premium,90,0,Smart TV,3,1
1052,51,263,35,7,83,249,14,0.0073366405781195,95,52.0,3,0.61,2,2.0,1.7,Familiar,97,3,Celular,4,2
1053,36,252,24,7,83,226,6,0.0894824733646909,74,30.0,3,0.94,5,5.0,18.2,Basico,59,1,Notebook,1,3
1054,44,441,34,7,74,147,14,0.1127930184037672,56,32.0,4,0.86,1,7.0,53.3,Estandar,66,4,Tablet,2,4
1055,39,119,12,0,26,17,4,0.4843819648583337,10,35.0,4,0.71,3,2.0,39.2,Premium,73,2,Consola,3,5
1056,32,482,22,2,84,230,10,0.1173682236041758,47,68.0,1,0.23,3,5.0,1.4,Familiar,80,0,Smart TV,4,1
1057,22,232,63,23,81,100,7,0.245232918559454,45,50.0,3,0.33,1,1.0,64.6,Basico,87,3,Celular,1,2
1058,16,178,64,10,76,92,7,0.1407129890481615,25,23.0,2,0.89,3,0.0,62.1,Estandar,94,1,Notebook,2,3
1059,20,231,23,15,69,154,9,0.4369256141192726,22,44.0,3,0.26,4,0.0,44.3,Premium,56,4,Tablet,3,4
1060,33,150,59,9,75,83,9,0.4586441051896083,39,40.0,1,0.35,5,4.0,6.3,Familiar,63,2,Consola,4,5
1061,45,104,4,6,15,55,2,0.7576255934765517,15,44.0,4,0.22,5,5.0,61.6,Basico,70,0,Smart TV,1,1
1062,25,255,45,23,84,103,7,0.1748174994230093,23,51.0,4,0.71,1,2.0,47.1,Estandar,77,3,Celular,2,2
1063,48,461,10,4,86,259,5,0.1221240084883265,77,63.0,1,0.95,3,0.0,62.8,Premium,84,1,Notebook,3,3
1064,54,40,4,4,52,7,1,0.4215382889059377,24,55.0,2,0.34,2,6.0,60.4,Familiar,91,4,Tablet,4,4
1065,24,124,42,14,83,61,7,0.3738286191519333,39,31.0,4,0.53,2,0.0,64.4,Basico,98,2,Consola,1,5
1066,18,92,5,0,26,13,3,0.4838997206311354,6,53.0,5,0.67,3,3.0,41.9,Estandar,60,0,Smart TV,2,1
1067,37,282,49,21,44,121,6,0.486010764266605,33,25.0,4,1.0,2,3.0,12.1,Premium,67,3,Celular,3,2
1068,40,386,11,3,72,120,12,0.1443193101502554,99,52.0,5,0.19,1,0.0,54.0,Familiar,74,1,Notebook,4,3
1069,43,191,30,13,76,73,6,0.1654623771462818,40,36.0,1,0.55,1,5.0,50.0,Basico,81,4,Tablet,1,4
1070,34,588,36,4,94,161,13,0.1365964126834264,47,47.0,1,0.45,3,4.0,59.6,Estandar,88,2,Consola,2,5
1071,43,537,28,6,70,142,5,0.0464425390293634,72,31.0,4,0.88,2,0.0,14.4,Premium,95,0,Smart TV,3,1
1072,29,172,59,12,90,98,5,0.272611257254577,22,37.0,3,0.53,1,1.0,16.4,Familiar,57,3,Celular,4,2
1073,21,298,27,14,91,74,9,0.3480291023714054,49,66.0,5,0.2,1,7.0,71.3,Basico,64,1,Notebook,1,3
1074,56,406,15,9,70,274,11,0.0286255971096939,43,42.0,2,0.67,4,2.0,60.2,Estandar,71,4,Tablet,2,4
1075,39,95,10,4,68,78,1,0.261749618446487,13,57.0,4,0.79,4,4.0,72.8,Premium,78,2,Consola,3,5
1076,48,76,4,4,33,56,4,0.5013730084775181,8,41.0,2,0.1,1,1.0,60.9,Familiar,85,0,Smart TV,4,1
1077,34,406,24,4,81,292,6,0.0024406144636089,90,31.0,4,0.87,3,4.0,48.2,Basico,92,3,Celular,1,2
1078,33,283,55,15,66,128,6,0.1726390867205702,29,43.0,3,0.27,5,1.0,52.7,Estandar,99,1,Notebook,2,3
1079,23,101,15,1,55,16,2,0.5517378992100784,18,55.0,3,0.6,5,2.0,71.2,Premium,61,4,Tablet,3,4
1080,39,230,59,15,51,167,6,0.4675002089042986,24,40.0,3,0.47,1,2.0,46.7,Familiar,68,2,Consola,4,5
